Accession,SRA_Accession,Species,Genus,Family,Molecule_type,Length,Sequence_Type,Genotype,Segment,Host,Isolation_Source,BioSample,GenBank_Title
MW735419,,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29634,GenBank,,,Homo sapiens,oronasopharynx,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/PHL/PH-PGC-02181/2021 ORF1ab polyprotein (ORF1ab), ORF1a polyprotein (ORF1ab), surface glycoprotein (S), ORF3a protein (ORF3a), envelope protein (E), membrane glycoprotein (M), ORF6 protein (ORF6), ORF7a protein (ORF7a), and ORF7b (ORF7b) genes, complete cds; ORF8 gene, complete sequence; and nucleocapsid phosphoprotein (N) and ORF10 protein (ORF10) genes, complete cds"
MW735420,,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29794,GenBank,,,Homo sapiens,oronasopharynx,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/PHL/PH-PGC-02183/2021 ORF1ab polyprotein (ORF1ab), ORF1a polyprotein (ORF1ab), surface glycoprotein (S), ORF3a protein (ORF3a), envelope protein (E), membrane glycoprotein (M), ORF6 protein (ORF6), ORF7a protein (ORF7a), ORF7b (ORF7b), truncated ORF8 protein (ORF8), nucleocapsid phosphoprotein (N), and ORF10 protein (ORF10) genes, complete cds"
MW735421,,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29631,GenBank,,,Homo sapiens,oronasopharynx,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/PHL/PH-PGC-02184/2021 ORF1ab polyprotein (ORF1ab), ORF1a polyprotein (ORF1ab), surface glycoprotein (S), ORF3a protein (ORF3a), envelope protein (E), membrane glycoprotein (M), and ORF6 protein (ORF6) genes, complete cds; ORF7a protein (ORF7a), ORF7b (ORF7b), and truncated ORF8 protein (ORF8) genes, partial cds; and nucleocapsid phosphoprotein (N) and ORF10 protein (ORF10) genes, complete cds"
MW735422,,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29811,GenBank,,,Homo sapiens,oronasopharynx,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/PHL/PH-PGC-02185/2021 ORF1ab polyprotein (ORF1ab), ORF1a polyprotein (ORF1ab), surface glycoprotein (S), ORF3a protein (ORF3a), envelope protein (E), membrane glycoprotein (M), ORF6 protein (ORF6), ORF7a protein (ORF7a), ORF7b (ORF7b), truncated ORF8 protein (ORF8), nucleocapsid phosphoprotein (N), and ORF10 protein (ORF10) genes, complete cds"
MW735423,,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29631,GenBank,,,Homo sapiens,oronasopharynx,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/PHL/PH-PGC-02225/2021 ORF1ab polyprotein (ORF1ab), ORF1a polyprotein (ORF1ab), surface glycoprotein (S), ORF3a protein (ORF3a), envelope protein (E), membrane glycoprotein (M), ORF6 protein (ORF6), ORF7a protein (ORF7a), ORF7b (ORF7b), truncated ORF8 protein (ORF8), nucleocapsid phosphoprotein (N), and ORF10 protein (ORF10) genes, complete cds"
MW735424,,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29825,GenBank,,,Homo sapiens,oronasopharynx,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/PHL/PH-PGC-02408/2021, complete genome"
MW735425,,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29800,GenBank,,,Homo sapiens,oronasopharynx,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/PHL/PH-PGC-02434/2021, complete genome"
MW735426,,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29832,GenBank,,,Homo sapiens,oronasopharynx,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/PHL/PH-PGC-02630/2021, complete genome"
MW735427,,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29845,GenBank,,,Homo sapiens,oronasopharynx,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/PHL/PH-PGC-02725/2021 ORF1ab polyprotein (ORF1ab), ORF1a polyprotein (ORF1ab), surface glycoprotein (S), ORF3a protein (ORF3a), envelope protein (E), membrane glycoprotein (M), and ORF6 protein (ORF6) genes, complete cds; ORF7a protein (ORF7a) and ORF7b (ORF7b) genes, partial cds; and truncated ORF8 protein (ORF8), nucleocapsid phosphoprotein (N), and ORF10 protein (ORF10) genes, complete cds"
MW735428,,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29854,GenBank,,,Homo sapiens,oronasopharynx,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/PHL/PH-PGC-02730/2021, complete genome"
MW735429,,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29810,GenBank,,,Homo sapiens,oronasopharynx,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/PHL/PH-PGC-02732/2021, complete genome"
MW735430,,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29849,GenBank,,,Homo sapiens,oronasopharynx,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/PHL/PH-PGC-02733/2021, complete genome"
MW735431,,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29857,GenBank,,,Homo sapiens,oronasopharynx,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/PHL/PH-PGC-02745/2021 ORF1ab polyprotein (ORF1ab) and ORF1a polyprotein (ORF1ab) genes, partial cds; surface glycoprotein (S), ORF3a protein (ORF3a), envelope protein (E), membrane glycoprotein (M), and ORF6 protein (ORF6) genes, complete cds; ORF7a protein (ORF7a) and ORF7b (ORF7b) genes, partial cds; truncated ORF8 protein (ORF8) gene, complete cds; nucleocapsid phosphoprotein (N) gene, partial cds; and ORF10 protein (ORF10) gene, complete cds"
MW735432,,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29806,GenBank,,,Homo sapiens,oronasopharynx,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/PHL/PH-PGC-02756/2021 ORF1ab polyprotein (ORF1ab) and ORF1a polyprotein (ORF1ab) genes, partial cds; and surface glycoprotein (S), ORF3a protein (ORF3a), envelope protein (E), membrane glycoprotein (M), ORF6 protein (ORF6), ORF7a protein (ORF7a), ORF7b (ORF7b), truncated ORF8 protein (ORF8), nucleocapsid phosphoprotein (N), and ORF10 protein (ORF10) genes, complete cds"
MW735433,,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29805,GenBank,,,Homo sapiens,oronasopharynx,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/PHL/PH-PGC-02770/2021 ORF1ab polyprotein (ORF1ab) and ORF1a polyprotein (ORF1ab) genes, partial cds; surface glycoprotein (S), ORF3a protein (ORF3a), envelope protein (E), membrane glycoprotein (M), ORF6 protein (ORF6), ORF7a protein (ORF7a), ORF7b (ORF7b), and truncated ORF8 protein (ORF8) genes, complete cds; nucleocapsid phosphoprotein (N) gene, partial cds; and ORF10 protein (ORF10) gene, complete cds"
MW735434,,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29796,GenBank,,,Homo sapiens,oronasopharynx,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/PHL/PH-PGC-02793/2021 ORF1ab polyprotein (ORF1ab), ORF1a polyprotein (ORF1ab), surface glycoprotein (S), ORF3a protein (ORF3a), envelope protein (E), membrane glycoprotein (M), ORF6 protein (ORF6), ORF7a protein (ORF7a), ORF7b (ORF7b), truncated ORF8 protein (ORF8), nucleocapsid phosphoprotein (N), and ORF10 protein (ORF10) genes, complete cds"
MW735435,,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29831,GenBank,,,Homo sapiens,oronasopharynx,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/PHL/PH-PGC-02812/2021, complete genome"
MW735436,,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29799,GenBank,,,Homo sapiens,oronasopharynx,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/PHL/PH-PGC-02826/2021, complete genome"
MW735437,,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29804,GenBank,,,Homo sapiens,oronasopharynx,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/PHL/PH-PGC-02845/2021, complete genome"
MW735438,,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29800,GenBank,,,Homo sapiens,oronasopharynx,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/PHL/PH-PGC-02851/2021, complete genome"
MW735439,,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29799,GenBank,,,Homo sapiens,oronasopharynx,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/PHL/PH-PGC-02886/2021 ORF1ab polyprotein (ORF1ab), ORF1a polyprotein (ORF1ab), surface glycoprotein (S), ORF3a protein (ORF3a), envelope protein (E), membrane glycoprotein (M), ORF6 protein (ORF6), ORF7a protein (ORF7a), ORF7b (ORF7b), truncated ORF8 protein (ORF8), nucleocapsid phosphoprotein (N), and ORF10 protein (ORF10) genes, complete cds"
MW735440,,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29846,GenBank,,,Homo sapiens,oronasopharynx,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/PHL/PH-PGC-03846/2021, complete genome"
MW735441,,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29805,GenBank,,,Homo sapiens,oronasopharynx,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/PHL/PH-PGC-03939/2021, complete genome"
MW735442,,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29797,GenBank,,,Homo sapiens,oronasopharynx,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/PHL/PH-PGC-03978/2021 ORF1ab polyprotein (ORF1ab), ORF1a polyprotein (ORF1ab), surface glycoprotein (S), ORF3a protein (ORF3a), envelope protein (E), membrane glycoprotein (M), and ORF6 protein (ORF6) genes, complete cds; ORF7a protein (ORF7a) and ORF7b (ORF7b) genes, partial cds; and truncated ORF8 protein (ORF8), nucleocapsid phosphoprotein (N), and ORF10 protein (ORF10) genes, complete cds"
MT155809,,Avian orthoavulavirus 1,Orthoavulavirus,Paramyxoviridae,ssRNA(-),401,GenBank,,,Gallus gallus,,,"Avian orthoavulavirus 1 isolate Chicken/Philippines/2016/TLY16KVG7 fusion protein gene, partial cds"
MT155810,,Avian orthoavulavirus 1,Orthoavulavirus,Paramyxoviridae,ssRNA(-),409,GenBank,,,Gallus gallus,,,"Avian orthoavulavirus 1 isolate Chicken/Philippines/2017/DBR17KVG9 fusion protein gene, partial cds"
MT155811,,Avian orthoavulavirus 1,Orthoavulavirus,Paramyxoviridae,ssRNA(-),417,GenBank,,,Gallus gallus,,,"Avian orthoavulavirus 1 isolate Chicken/Philippines/2017/TLY17KVG8 fusion protein gene, partial cds"
MT155812,,Avian orthoavulavirus 1,Orthoavulavirus,Paramyxoviridae,ssRNA(-),203,GenBank,,,Columbidae,,,"Avian orthoavulavirus 1 isolate Pigeon/Philippines/2017/RPG17KVG10 fusion protein gene, partial cds"
MT155813,,Avian orthoavulavirus 1,Orthoavulavirus,Paramyxoviridae,ssRNA(-),203,GenBank,,,Gallus gallus,,,"Avian orthoavulavirus 1 isolate Chicken/Philippines/2015/PLY15KVG3 fusion protein gene, partial cds"
MT155814,,Avian orthoavulavirus 1,Orthoavulavirus,Paramyxoviridae,ssRNA(-),204,GenBank,,,Gallus gallus,,,"Avian orthoavulavirus 1 isolate Chicken/Philippines/2015/DLY15KVG4 fusion protein gene, partial cds"
MT155815,,Avian orthoavulavirus 1,Orthoavulavirus,Paramyxoviridae,ssRNA(-),203,GenBank,,,Gallus gallus,,,"Avian orthoavulavirus 1 isolate Chicken/Philippines/2016/BLY16KVG6 fusion protein gene, partial cds"
MT155816,,Avian orthoavulavirus 1,Orthoavulavirus,Paramyxoviridae,ssRNA(-),203,GenBank,,,Gallus gallus,,,"Avian orthoavulavirus 1 isolate Chicken/Philippines/2014/ZLY14KVG2 fusion protein gene, partial cds"
MT155817,,Avian orthoavulavirus 1,Orthoavulavirus,Paramyxoviridae,ssRNA(-),202,GenBank,,,Gallus gallus,,,"Avian orthoavulavirus 1 isolate Chicken/Philippines/2014/LaSota Vaccine fusion protein gene, partial cds"
MT832032,,Dengue virus,Flavivirus,Flaviviridae,ssRNA(+),10179,GenBank,,,Homo sapiens,blood,,"Dengue virus 1 isolate AB204803_D1_11 polyprotein (POLY) gene, complete cds"
MT832033,,Dengue virus,Flavivirus,Flaviviridae,ssRNA(+),10179,GenBank,,,Homo sapiens,,,"Dengue virus 1 isolate AB204803_D1_2_cp1 polyprotein (POLY) gene, complete cds"
MT832034,,Dengue virus,Flavivirus,Flaviviridae,ssRNA(+),10141,GenBank,,,Homo sapiens,blood,,"Dengue virus 1 isolate AB204803_D1_2 polyprotein (POLY) gene, partial cds"
MT832035,,Dengue virus,Flavivirus,Flaviviridae,ssRNA(+),10179,GenBank,,,Homo sapiens,,,"Dengue virus 1 isolate AB204803_D1_3_cp1 polyprotein (POLY) gene, complete cds"
MT832036,,Dengue virus,Flavivirus,Flaviviridae,ssRNA(+),10179,GenBank,,,Homo sapiens,blood,,"Dengue virus 1 isolate AB204803_D1_3 polyprotein (POLY) gene, complete cds"
MT832037,,Dengue virus,Flavivirus,Flaviviridae,ssRNA(+),10179,GenBank,,,Homo sapiens,,,"Dengue virus 1 isolate AB204803_D1_4_cp1 polyprotein (POLY) gene, complete cds"
MT832038,,Dengue virus,Flavivirus,Flaviviridae,ssRNA(+),10179,GenBank,,,Homo sapiens,blood,,"Dengue virus 1 isolate AB204803_D1_4 polyprotein (POLY) gene, complete cds"
MT832039,,Dengue virus,Flavivirus,Flaviviridae,ssRNA(+),10179,GenBank,,,Homo sapiens,,,"Dengue virus 1 isolate AB204803_D1_6_cp1 polyprotein (POLY) gene, complete cds"
MT832040,,Dengue virus,Flavivirus,Flaviviridae,ssRNA(+),10179,GenBank,,,Homo sapiens,blood,,"Dengue virus 1 isolate AB204803_D1_6 polyprotein (POLY) gene, complete cds"
MT832041,,Dengue virus,Flavivirus,Flaviviridae,ssRNA(+),10179,GenBank,,,Homo sapiens,,,"Dengue virus 1 isolate AB204803_D1_7_cp1 polyprotein (POLY) gene, complete cds"
MT832042,,Dengue virus,Flavivirus,Flaviviridae,ssRNA(+),10179,GenBank,,,Homo sapiens,blood,,"Dengue virus 1 isolate AB204803_D1_7 polyprotein (POLY) gene, complete cds"
MT832043,,Dengue virus,Flavivirus,Flaviviridae,ssRNA(+),10179,GenBank,,,Homo sapiens,,,"Dengue virus 1 isolate AB204803_D1_8_cp1 polyprotein (POLY) gene, complete cds"
MT832044,,Dengue virus,Flavivirus,Flaviviridae,ssRNA(+),10179,GenBank,,,Homo sapiens,blood,,"Dengue virus 1 isolate AB204803_D1_8 polyprotein (POLY) gene, complete cds"
MT832045,,Dengue virus,Flavivirus,Flaviviridae,ssRNA(+),10179,GenBank,,,Homo sapiens,,,"Dengue virus 1 isolate AB204803_D1_9_cp1 polyprotein (POLY) gene, complete cds"
MT832046,,Dengue virus,Flavivirus,Flaviviridae,ssRNA(+),10179,GenBank,,,Homo sapiens,blood,,"Dengue virus 1 isolate AB204803_D1_9 polyprotein (POLY) gene, complete cds"
MT832047,,Dengue virus,Flavivirus,Flaviviridae,ssRNA(+),10179,GenBank,,,Homo sapiens,,,"Dengue virus 1 isolate AB204803_D1_10_cp1 polyprotein (POLY) gene, complete cds"
MT832048,,Dengue virus,Flavivirus,Flaviviridae,ssRNA(+),10179,GenBank,,,Homo sapiens,blood,,"Dengue virus 1 isolate AB204803_D1_10 polyprotein (POLY) gene, complete cds"
MT832049,,Dengue virus,Flavivirus,Flaviviridae,ssRNA(+),10179,GenBank,,,Homo sapiens,,,"Dengue virus 1 isolate AB204803_D1_1_cp1 polyprotein (POLY) gene, complete cds"
MT832050,,Dengue virus,Flavivirus,Flaviviridae,ssRNA(+),10179,GenBank,,,Homo sapiens,blood,,"Dengue virus 1 isolate AB204803_D1_1 polyprotein (POLY) gene, complete cds"
MT832051,,Dengue virus,Flavivirus,Flaviviridae,ssRNA(+),10179,GenBank,,,Homo sapiens,,,"Dengue virus 1 isolate AB204803_D1_5_cp1 polyprotein (POLY) gene, complete cds"
MT832052,,Dengue virus,Flavivirus,Flaviviridae,ssRNA(+),10179,GenBank,,,Homo sapiens,blood,,"Dengue virus 1 isolate AB204803_D1_5 polyprotein (POLY) gene, complete cds"
MT832053,,Dengue virus,Flavivirus,Flaviviridae,ssRNA(+),10176,GenBank,,,Homo sapiens,,,"Dengue virus 2 isolate KU517847_D2_1_cp1 polyprotein (POLY) gene, complete cds"
MT832054,,Dengue virus,Flavivirus,Flaviviridae,ssRNA(+),10176,GenBank,,,Homo sapiens,blood,,"Dengue virus 2 isolate KU517847_D2_1 polyprotein (POLY) gene, complete cds"
MT832055,,Dengue virus,Flavivirus,Flaviviridae,ssRNA(+),10176,GenBank,,,Homo sapiens,,,"Dengue virus 2 isolate KU509277_D2_1_cp1 polyprotein (POLY) gene, complete cds"
MT832056,,Dengue virus,Flavivirus,Flaviviridae,ssRNA(+),10176,GenBank,,,Homo sapiens,blood,,"Dengue virus 2 isolate KU509277_D2_1 polyprotein (POLY) gene, complete cds"
MT832057,,Dengue virus,Flavivirus,Flaviviridae,ssRNA(+),10176,GenBank,,,Homo sapiens,,,"Dengue virus 2 isolate KU509277_D2_3_cp1 polyprotein (POLY) gene, complete cds"
MT832058,,Dengue virus,Flavivirus,Flaviviridae,ssRNA(+),10176,GenBank,,,Homo sapiens,blood,,"Dengue virus 2 isolate KU509277_D2_3 polyprotein (POLY) gene, complete cds"
MT832059,,Dengue virus,Flavivirus,Flaviviridae,ssRNA(+),10176,GenBank,,,Homo sapiens,,,"Dengue virus 2 isolate KU509277_D2_2_cp1 polyprotein (POLY) gene, complete cds"
MT832060,,Dengue virus,Flavivirus,Flaviviridae,ssRNA(+),10176,GenBank,,,Homo sapiens,blood,,"Dengue virus 2 isolate KU509277_D2_2 polyprotein (POLY) gene, complete cds"
MT832061,,Dengue virus,Flavivirus,Flaviviridae,ssRNA(+),10176,GenBank,,,Homo sapiens,,,"Dengue virus 2 isolate KM279601_D2_1_cp1 polyprotein (POLY) gene, complete cds"
MT832062,,Dengue virus,Flavivirus,Flaviviridae,ssRNA(+),10072,GenBank,,,Homo sapiens,blood,,"Dengue virus 2 isolate KM279601_D2_1 polyprotein (POLY) gene, partial cds"
MT832063,,Dengue virus,Flavivirus,Flaviviridae,ssRNA(+),10176,GenBank,,,Homo sapiens,,,"Dengue virus 2 isolate KM279601_D2_2_cp1 polyprotein (POLY) gene, complete cds"
MT832064,,Dengue virus,Flavivirus,Flaviviridae,ssRNA(+),10072,GenBank,,,Homo sapiens,blood,,"Dengue virus 2 isolate KM279601_D2_2 polyprotein (POLY) gene, partial cds"
MT832065,,Dengue virus,Flavivirus,Flaviviridae,ssRNA(+),10176,GenBank,,,Homo sapiens,,,"Dengue virus 2 isolate KM279601_D2_3_cp1 polyprotein (POLY) gene, complete cds"
MT832066,,Dengue virus,Flavivirus,Flaviviridae,ssRNA(+),10081,GenBank,,,Homo sapiens,blood,,"Dengue virus 2 isolate KM279601_D2_3 polyprotein (POLY) gene, partial cds"
MT832067,,Dengue virus,Flavivirus,Flaviviridae,ssRNA(+),10176,GenBank,,,Homo sapiens,,,"Dengue virus 2 isolate KM279601_D2_4_cp1 polyprotein (POLY) gene, complete cds"
MT832068,,Dengue virus,Flavivirus,Flaviviridae,ssRNA(+),10072,GenBank,,,Homo sapiens,blood,,"Dengue virus 2 isolate KM279601_D2_4 polyprotein (POLY) gene, partial cds"
MT832069,,Dengue virus,Flavivirus,Flaviviridae,ssRNA(+),10176,GenBank,,,Homo sapiens,,,"Dengue virus 2 isolate KM279601_D2_5_cp1 polyprotein (POLY) gene, complete cds"
MT832070,,Dengue virus,Flavivirus,Flaviviridae,ssRNA(+),10072,GenBank,,,Homo sapiens,blood,,"Dengue virus 2 isolate KM279601_D2_5 polyprotein (POLY) gene, partial cds"
MT832071,,Dengue virus,Flavivirus,Flaviviridae,ssRNA(+),10176,GenBank,,,Homo sapiens,,,"Dengue virus 2 isolate KM279601_D2_6_cp1 polyprotein (POLY) gene, complete cds"
MT832072,,Dengue virus,Flavivirus,Flaviviridae,ssRNA(+),10176,GenBank,,,Homo sapiens,blood,,"Dengue virus 2 isolate KM279601_D2_6 polyprotein (POLY) gene, complete cds"
MT832073,,Dengue virus,Flavivirus,Flaviviridae,ssRNA(+),10176,GenBank,,,Homo sapiens,,,"Dengue virus 2 isolate KM279601_D2_7_cp1 polyprotein (POLY) gene, complete cds"
MT832074,,Dengue virus,Flavivirus,Flaviviridae,ssRNA(+),10176,GenBank,,,Homo sapiens,blood,,"Dengue virus 2 isolate KM279601_D2_7 polyprotein (POLY) gene, complete cds"
MT832075,,Dengue virus,Flavivirus,Flaviviridae,ssRNA(+),10176,GenBank,,,Homo sapiens,,,"Dengue virus 2 isolate KM279601_D2_8_cp1 polyprotein (POLY) gene, complete cds"
MT832076,,Dengue virus,Flavivirus,Flaviviridae,ssRNA(+),10176,GenBank,,,Homo sapiens,blood,,"Dengue virus 2 isolate KM279601_D2_8 polyprotein (POLY) gene, complete cds"
MT832077,,Dengue virus,Flavivirus,Flaviviridae,ssRNA(+),10176,GenBank,,,Homo sapiens,,,"Dengue virus 2 isolate KM279601_D2_9_cp1 polyprotein (POLY) gene, complete cds"
MT832078,,Dengue virus,Flavivirus,Flaviviridae,ssRNA(+),10176,GenBank,,,Homo sapiens,blood,,"Dengue virus 2 isolate KM279601_D2_9 polyprotein (POLY) gene, complete cds"
